citing_row	citing_paper	inferred_rating	reference
24	PURA: Parameter Update-Recovery Test-Time Adaption for RGB-T Tracking	CAS-Q1	[11] Junyu Gao, Mengyuan Chen, and Changsheng Xu. Vector- Fan. Rgbt tracking via challenge-based appearance disentan- ized evidential learning for weakly-supervised temporal ac- glement and interaction. TIP, 33:1753–1767, 2024. 6 tion localization. TPAMI, 45(12):15949 – 15963, 2023. 1 [28] Yang Luo, Xiqing Guo, Hui Feng, and Lei Ao. Rgb-t track-
24	PURA: Parameter Update-Recovery Test-Time Adaption for RGB-T Tracking	CCF-A	[14] Xiaojun Hou, Jiazheng Xing, Yijie Qian, Yaowei Guo, Shuo [30] Jiatian Mei, Dongming Zhou, Jinde Cao, Rencand Nie, and Xin, Junhao Chen, Kai Tang, Mengmeng Wang, Zhengkai Kangjian He. Differential reinforcement and global collabo- Jiang, Liang Liu, et al. Sdstrack: Self-distillation symmetric ration network for rgbt tracking. Sensors, 23(7):7301–7311, adapter learning for multi-modal visual object tracking. In 2023. 6 CVPR, pages 26551–26561, 2024. 2 [31] Jiatian Mei, Juxiang Zhou, Jun Wang, Jia Hao, Dongming
24	PURA: Parameter Update-Recovery Test-Time Adaption for RGB-T Tracking	CCF-A	[39] Dequan Wang, Evan Shelhamer, Shaoteng Liu, Bruno Ol- [50] Tianlu Zhang, Hongyuan Guo, Qiang Jiao, Qiang Zhang, and shausen, and Trevor Darrell. Tent: Fully test-time adaptation Jungong Han. Efficient rgb-t tracking via cross-modality dis- by entropy minimization. In ICLR, 2021. 2, 3, 6, 7 tillation. In CVPR, pages 5404–5413, 2023. 6
27	What You Have is What You Track: Adaptive and Robust Multimodal Tracking	CCF-B	[15] Zhihong Fu, Zehua Fu, Qingjie Liu, Wenrui Cai, and Yun- [29] Chenglong Li, Xinyan Liang, Yijuan Lu, Nan Zhao, and Jin hong Wang. Sparsett: Visual tracking with sparse transform- Tang. Rgb-t object tracking: Benchmark and baseline. PR, ers. In IJCAI, 2022. 1 96:106977, 2019. 1, 2, 5, 6, 7
27	What You Have is What You Track: Adaptive and Robust Multimodal Tracking	CAS-Q1	[35] Ye Liu, Xiao-Yuan Jing, Jianhui Nie, Hao Gao, Jun Liu, and [51] Xiao Wang, Jianing Li, Lin Zhu, Zhipeng Zhang, Zhe Chen, Guo-Ping Jiang. Context-aware three-dimensional mean- Xin Li, Yaowei Wang, Yonghong Tian, and Feng Wu. Visev- shift with occlusion handling for robust object tracking in ent: Reliable object tracking via collaboration of frame and RGB-D videos. TMM, pages 664–677, 2018. 6 event flows. TCYB, pages 1–14, 2023. 2, 5, 6, 7
27	What You Have is What You Track: Adaptive and Robust Multimodal Tracking	CCF-A	[53] Xing Wei, Yifan Bai, Yongchao Zheng, Dahu Shi, and Yi- Cathy Wu, and Xi Peng. Smil: Multimodal learning with hong Gong. Autoregressive visual tracking. In CVPR, 2023. severely missing modality. In AAAI, pages 2302–2310, 2021. 1, 2 1, 2
27	What You Have is What You Track: Adaptive and Robust Multimodal Tracking	CCF-A	[41] Hyeonseob Nam and Bohyung Han. Learning multi-domain Radu Timofte. Single-model and any-modality for video ob- convolutional neural networks for visual tracking. In CVPR, ject tracking. In CVPR, 2024. 2, 5, 6
27	What You Have is What You Track: Adaptive and Robust Multimodal Tracking	CCF-A	[42] Yanlin Qian, Song Yan, Alan Lukežič, Matej Kristan, Joni- Tang. Attribute-based progressive fusion network for rgbt Kristian Kämäräinen, and Jiřı́ Matas. Dal: A deep depth- tracking. In AAAI, 2022. 6 aware long-term tracker. In ICPR, 2021. 6 [58] Fei Xie, Chunyu Wang, Guangting Wang, Yue Cao, Wankou
27	What You Have is What You Track: Adaptive and Robust Multimodal Tracking	CCF-A	[60] Song Yan, Jinyu Yang, Jani Käpylä, Feng Zheng, Aleš trained transformer pyramid network with token migration. Leonardis, and Joni-Kristian Kämäräinen. Depthtrack: Un- TPAMI, 2024. 5 veiling the power of rgbd tracking. In ICCV, 2021. 1, 5, 6,
27	What You Have is What You Track: Adaptive and Robust Multimodal Tracking	CCF-A	[47] Chaoqun Wang, Chunyan Xu, Zhen Cui, Ling Zhou, Tong tracking: A one-stream framework. In ECCV, 2022. 2, 5, 6 Zhang, Xiaoya Zhang, and Jian Yang. Cross-modal pattern- [63] Sukwon Yun, Inyoung Choi, Jie Peng, Yangfan Wu, Jingx- propagation for rgb-t tracking. In CVPR, 2020. 6 uan Bao, Qiyiwen Zhang, Jiayi Xin, Qi Long, and Tianlong
27	What You Have is What You Track: Adaptive and Robust Multimodal Tracking	CCF-A	[48] Hu Wang, Congbo Ma, Jianpeng Zhang, Yuan Zhang, Jodie Chen. Flex-moe: Modeling arbitrary modality combination Avery, Louise Hull, and Gustavo Carneiro. Learnable cross- via the flexible mixture-of-experts. In NeurIPS. 2 modal knowledge distillation for multi-modal learning with [64] Hui Zhang, Lei Zhang, Li Zhuo, and Jing Zhang. Object missing modality. In MICCAI, pages 216–226. Springer, tracking in RGB-T videos using modal-aware attention net-
27	What You Have is What You Track: Adaptive and Robust Multimodal Tracking	CCF-A	[69] Xue-Feng Zhu, Tianyang Xu, Zhangyong Tang, Zucheng Wu, Haodong Liu, Xiao Yang, Xiao-Jun Wu, and Josef Kit- tler. Rgbd1k: A large-scale dataset and benchmark for rgb-d object tracking. In AAAI, 2023. 2, 6
28	XTrack: Multimodal Training Boosts RGB-X Video Object Trackers	CCF-A	[1] Hassan Akbari, Dan Kondratyuk, Yin Cui, Rachel Hornung, ters. TPAMI, 37(3):583–596, 2014. 2 Huisheng Wang, and Hartwig Adam. Alternating gradi- [18] Lingyi Hong, Shilin Yan, Renrui Zhang, Wanyun Li, Xinyu ent descent and mixture-of-experts for integrated multimodal Zhou, Pinxue Guo, Kaixun Jiang, Yiting Chen, Jinglun Li, perception. NeurIPS, 36, 2024. 3 Zhaoyu Chen, et al. Onetracker: Unifying visual object
28	XTrack: Multimodal Training Boosts RGB-X Video Object Trackers	CCF-A	[14] Rohit Girdhar, Alaaeldin El-Nouby, Zhuang Liu, Mannat tion for grayscale-thermal tracking. TIP, 25(12):5743–5756, Singh, Kalyan Vasudev Alwala, Armand Joulin, and Ishan 2016. 1, 2 Misra. Imagebind: One embedding space to bind them all. [29] Chenglong Li, Xinyan Liang, Yijuan Lu, Nan Zhao, and Jin In CVPR, 2023. 3 Tang. Rgb-t object tracking: Benchmark and baseline. PR,
28	XTrack: Multimodal Training Boosts RGB-X Video Object Trackers	CAS-Q1	2020. 2 diversity benchmark for rgbt tracking. TIP, 31:392–404,
