itemID	key	type	date	venue	doi	title
1116	GCLC9C8G	webpage	2023-06-16 2023-06-16			RGB-t追踪——【数据集基准】GTOT / RGBT210 / RGBT234 / VOT-2019-2020 / LasHeR / VTUAV
2324	6AP2LXE2	journalArticle	2022-00-00 2022	IEEE Transactions on Image Processing	10.1109/TIP.2021.3130533	LasHeR: A large-scale high-diversity benchmark for RGBT tracking
3187	4EB434RC	conferencePaper	2022-07-00 2022-07	2022 IEEE International Conference on Multimedia and Expo (ICME)	10.1109/ICME52920.2022.9860018	MIRNet: A robust RGBT tracking jointly with multi-modal interaction and refinement
2322	YFS6GMYB	preprint	2022-04-08 2022-04-08		10.48550/arXiv.2204.04120	Visible-thermal UAV tracking: A large-scale benchmark and new baseline
2325	CSLTW96Q	webpage	2021-04-27 2021/04/27		10.1109/TIP.2021.3130533	LasHeR: A large-scale high-diversity benchmark for RGBT tracking
1548	5GQJLPY6	conferencePaper	2021-06-00 6/2021	2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	10.1109/CVPR46437.2021.00526	Learnable graph matching: Incorporating graph partitioning with deep feature learning for multiple object tracking
3183	CMTU82AE	journalArticle	2021-00-00 2021	IEEE Transactions on Image Processing	10.1109/TIP.2021.3087341	RGBT tracking via multi-adapter network with hierarchical divergence loss
3175	JFFJZ89B	conferencePaper	2020-00-00 2020	Computer Vision – ECCV 2020	10.1007/978-3-030-58542-6_14	Challenge-aware RGBT tracking
2429	X88KUUB7	journalArticle	2020-03-16 2020-03-16	IEEE Transactions on Circuits and Systems for Video Technology	10.48550/arXiv.2003.06994	Multi-drone based single object tracking with agent sharing network
3169	DMEXI58C	conferencePaper	2019-00-00 2019	Proceedings of the IEEE/CVF International Conference on Computer Vision Workshops		Deep adaptive fusion network for high performance RGBT tracking
3171	AWWAC8KZ	conferencePaper	2019-00-00 2019	Proceedings of the IEEE/CVF International Conference on Computer Vision Workshops		Multi-adapter RGBT tracking
2834	S373RI6D	journalArticle	2018-00-00 2018	2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition	10.1109/CVPR.2018.00632	Features for multi-target multi-camera tracking and re-identification
2326	BI46P8FQ	preprint	2018-05-23 2018-05-23		10.48550/arXiv.1805.08982	RGB-T object tracking:Benchmark and baseline
2327	LB4TK6R9	conferencePaper	2017-10-23 十月 23, 2017	Proceedings of the 25th ACM international conference on Multimedia	10.1145/3123266.3123289	Weighted sparse representation regularized graph learning for RGB-T object tracking
3166	WL8K9QK7	conferencePaper	2017-10-23 十月 23, 2017	Proceedings of the 25th ACM international conference on Multimedia	10.1145/3123266.3123289	Weighted sparse representation regularized graph learning for RGB-T object tracking
2328	IHRS6UH7	journalArticle	2016-12-00 2016-12	IEEE Transactions on Image Processing	10.1109/TIP.2016.2614135	Learning collaborative sparse representation for grayscale-thermal tracking
3152	ANGTQ8GE	journalArticle	2016-12-00 2016-12	IEEE Transactions on Image Processing	10.1109/TIP.2016.2614135	Learning collaborative sparse representation for grayscale-thermal tracking
3337	EQ35GNFU	webpage				Adaptive perception for unified visual multimodal object tracking | IEEE journals & magazine | IEEE xplore
2321	VCLERFYR	journalArticle				All-day multi-camera multi-target tracking
2430	5X9S8UKR	journalArticle				Cascade transformers for end-to-end person search
3173	KFTGDWSK	webpage				Challenge-aware RGBT tracking | springer nature link
3344	CBPY32HP	webpage				Exploiting multimodal spatial-temporal patterns for video object tracking | proceedings of the AAAI conference on artificial intelligence
3090	YHMEPL6N	journalArticle				Griffin: Aerial-ground cooperative detection and tracking dataset and benchmark
2924	V5PRQMHC	journalArticle				Learning from synchronization: Self-supervised uncalibrated multi-view person association in challenging scenes
3180	L2QYUWNG	webpage				RGBT tracking via multi-adapter network with hierarchical divergence loss | IEEE journals & magazine | IEEE xplore
3333	55HEEAPS	webpage				UniRTL: A universal RGBT and low-light benchmark for object tracking - ScienceDirect
3160	QFD9XNU5	webpage				Weighted sparse representation regularized graph learning for RGB-T object tracking
3159	HC3F76AU	webpage				Weighted sparse representation regularized graph learning for RGB-T object tracking | proceedings of the 25th ACM international conference on multimedia
3164	2K8N722Z	webpage				Weighted sparse representation regularized graph learning for RGB-T object tracking | proceedings of the 25th ACM international conference on multimedia
3339	57JXP3FI	journalArticle				What you have is what you track: Adaptive and robust multimodal tracking
